"Fiscal
Year",Facility,Kit SKU,Kit Name,"S/N
Count","Shipment
Count","Billing
Cost","Billing
Method","Rental
Period"
2020,ATLA,7800068,"0""-24"" OUTSIDE MICROMETER SET (Box 1  44”x28”x26” 140 lbs.  /Box 2  25”x20x”x15”  44 lbs)",9,29,420,Rental,Month
2020,ATLA,7800073,1 1/2 TON COME-ALONG KIT,38,74,157,Rental,Month
2020,ATLA,78004772,"1 1/2-TON CHAIN HOIST KIT, Extra Long Chain",26,42,119,Rental,Month
2020,ATLA,7800095,1-TON CHAIN HOIST KIT,16,38,220,Rental,Month
2020,ATLA,7800077,"1/2"" GAS BOLT HEATER KIT",6,21,700,Rental,Month
2020,ATLA,7800086,10-TON CHAIN HOIST KIT,44,76,230,Rental,Month
2020,ATLA,7800087,10-TON CHAIN HOIST KIT LONG CHAIN,89,135,330,Rental,Month
2020,ATLA,78017416,"100 Ton, Jacking Kit, Low Profile, Lock Nut",16,41,790,Rental,Month
2020,ATLA,7800133,15-TON EQUIPMENT ROLLER KIT,10,15,195,Rental,Month
2020,ATLA,78066013,"3 Ton Chain Hoist Kit, Long Chain, (30' Hand, 30' Lift)",18,37,300,Rental,Month
2020,ATLA,7800111,3-TON CHAIN HOIST KIT,34,82,275,Rental,Month
2020,ATLA,7800112,3-TON COME-ALONG KIT,30,47,185,Rental,Month
2020,ATLA,7800104,3/4 TON COME-ALONG KIT,54,151,158,Rental,Month
2020,ATLA,7800106,"3/4"" GAS BOLT HEATER KIT",3,7,570,Rental,Month
2020,ATLA,78007561,5 Ton I-Beam Trolley Kit,11,6,138,Rental,Month
2020,ATLA,78018107,"5- Ton Chain Hoist kit, Long Chain",35,105,320,Rental,Month
2020,ATLA,7800125,5-TON CHAIN HOIST KIT,33,107,262,Rental,Month
2020,ATLA,7800123,50-TON HYDRAULIC JACKING KIT,8,12,453,Rental,Month
2020,ATLA,7800120,501 CT FLUSHING KIT FOR HYDROGEN COOLED GENERATORS,2,11,2416.77,Rental,Month
2020,ATLA,78005573,"6 Ton Come Along Kit, Standard Chain",12,18,262,Rental,Month
2020,ATLA,7800131,6-TON CHAIN HOIST KIT WITH LONG CHAIN,6,12,336,Rental,Month
2020,ATLA,7800132,6-TON COME-ALONG KIT WITH LONG CHAIN,15,37,421,Rental,Month
2020,ATLA,78029879,"60 Ton Power Roller Set, Pneumatic (90psi/100cfm) (2 pcs.) 50""x82""x65"" each",2,5,4200,Rental,Month
2020,ATLA,78066054,"8"" Bench Grinder Kit",9,48,100,Rental,Month
2020,ATLA,78036771,80 Ton Equipment Roller Kit,1,1,225,Rental,Month
2020,ATLA,7800139,AIR MANIFOLD KIT,25,37,105,Rental,Month
2020,ATLA,78034869,Aerogo Air Caster Load Module System (Air Pallet) 7 Ton Capacity,2,2,500,Rental,Month
2020,ATLA,78072309,Air Analyzer (Gas Monitor) Crowcon Gas-Pro 4,30,129,150,Rental,Month
2020,ATLA,78028626,BB 296/96 Generator Bearing Bracket/ Bearing Cover/ Hydrogen Gland Seal Bracket/ Exciter Coupling Hydraulic Wrench Kit,5,18,5000,Rental,Month
2020,ATLA,7800157,BB296 THROTTLE VALVE STUD TENSIONER KIT,2,4,2997,Rental,Month
2020,ATLA,7800173,BEARING ADAPTER KIT FOR LUBE OIL FILTRATION,4,6,1804,Rental,Fixed Rate
2020,ATLA,7800175,BIDDLE DIGITAL LOW RESISTANCE OHMMETER (DLRO),42,190,355,Rental,Month
2020,ATLA,7800179,BOILERMAKER/PIPEFITTER TOOL KIT,8,47,735,Rental,Month
2020,ATLA,78010857,BOLT STRETCH MEASURING DEVICE FOR WESTINGHOUSE UNITS (Extensiometer),18,37,208,Rental,Month
2020,ATLA,78004774,"Belt Sander Kit, 6"" x 48""",20,52,215,Rental,Month
2020,ATLA,78035376,Bench Grinder Dust Collector Kit,24,34,125,Rental,Month
2020,ATLA,78094620,"Bender, Heavy Wall, Baileigh RBD-150-AS Bender Kit",1,2,1311.11,Rental,Month
2020,ATLA,78000907,"Borescope, Olympus Videoscope Model IV9635TR, 6MM X 3.5M",7,49,2700,Rental,Month
2020,ATLA,7800186,CHANNEL SEALANT INJECTION KIT,25,64,315,Rental,Month
2020,ATLA,7800198,"CONTAINERIZED TYPE ""A"" TOOL SET",25,79,18000,Rental,Month
2020,ATLA,78052528,Chemical Storage Cabinet Kit,50,161,150,Rental,Month
2020,ATLA,78058188,Containerized Break Trailer w/Metal Floor,4,9,1200,Rental,Month
2020,ATLA,78067843,Containerized FSS Welding Test Trailer Kit,1,1,3938,Rental,Fixed Rate
2020,ATLA,78017881,Containerized Office/Tool Trailer Lifting Beam Assembly,4,13,1000,Rental,Month
2020,ATLA,78037747,Containerized Office/Tool Trailer Lifting Beam Assembly,27,128,1000,Rental,Month
2020,ATLA,78017844,Course Thread Metric Tap & Die Set,11,19,731,Rental,Month
2020,ATLA,7800211,DIGITAL AC ROTOR  METER SET/ POLE BALANCE KIT,22,156,315,Rental,Month
2020,ATLA,7800208,"DIGITAL MEGGER, 5kV",47,294,848.57,Rental,Month
2020,ATLA,78000823,DIGITAL MULTIMETER FLUKE 189 or 287,12,42,69,Rental,Month
2020,ATLA,78093708,DO Commissioning Kit - DO Division Use Only,2,11,7200,Rental,Fixed Rate
2020,ATLA,78005721,Dayton Salamander Heater Kit,20,37,197,Rental,Month
2020,ATLA,78029949,"EDxtreme DIGITAL 50K DYNAMOMETER, EDx20T (50,000 LBS)",9,30,500,Rental,Month
2020,ATLA,78040805,EH Cap Kit for LP Turbines,10,18,250,Rental,Month
2020,ATLA,78079307,"Electronic Bore Gage, (Hole Micrometer), 1-3/8"" To 2""",3,4,250,Rental,Month
2020,ATLA,79000201,"Equipment Roller Kit, Hilman Nyton Roller, Non Floor Marking Swivel Locking Padded, Capacity 6 tons Each ",1,4,225,Rental,Month
2020,ATLA,78004768,Evacuation Fan Kit (Big Red Fans),15,64,318,Rental,Month
2020,ATLA,7800230,FEED PUMP TURBINE MODULAR TOOL KIT,4,6,2152,Rental,Month
2020,ATLA,78022675,FME/Pipe Cleanliness Supplemental Kit,22,122,498,Rental,Month
2020,ATLA,78038586,FOAM PIPE CLEANLINESS MAINTENANCE PLUG KIT,16,62,735,Rental,Month
2020,ATLA,78064235,FSS Pipe Inspection Camera (for FSS use only),5,27,475,Rental,Month
2020,ATLA,78029516,Fluid System Containerized Tool Kit,9,23,3300,Rental,Month
2020,ATLA,78057392,"Fly Up Bolt Basket Kit, Dwg. SEI-700-057",18,69,120,Rental,Month
2020,ATLA,78035179,"Fossil Coupling Bolt Removal Tool for 1.5"" and 2.0"" Coupling Bolts, Dwg. PH6D0063",5,13,250,Rental,Month
2020,ATLA,7800244,GENERATOR  ROTOR RADIAL & AXIAL LEAD REPLACEMENT KIT  (Conventional Units),8,3,735,Rental,Month
2020,ATLA,7800255,"GENERATOR RADIAL LEAD CONNECTOR SEAL REPAIR KIT, 67""",5,6,393,Rental,Month
2020,ATLA,7800262,GENERATOR ROTOR PRESSURE TEST SET,16,37,90,Rental,Month
2020,ATLA,78010783,Gas Cylinder Welding Carts with Firewall Kit,5,27,282,Rental,Month
2020,ATLA,7800265,Grand Gulf Containerized Tool Kit,1,1,22000,Rental,Month
2020,ATLA,78000928,Ground Fault Power Supply Kit,22,91,850,Rental,Month
2020,ATLA,78037750,Ground Fault Supply Kit with Remote Distribution Station (2pcs),18,86,1000,Rental,Month
2020,ATLA,78022655,H2 COOLED GENERATOR KIT,17,86,735,Rental,Month
2020,ATLA,7800279,"HEAD KIT, HYDRAULIC, HY-14XLCT",7,23,525,Rental,Month
2020,ATLA,7800291,"HEAD KIT, HYDRAULIC, HY-5XLT/5MXT",18,39,420,Rental,Month
2020,ATLA,7800282,"HEAD KIT, HYDRAULIC,1XLT or Equiv. 3/4"" DR.",27,87,262,Rental,Month
2020,ATLA,78000810,"HEAD KIT,HYDRAULIC, HY-3XLT or Equiv.1"" DR.",33,101,315,Rental,Month
2020,ATLA,7800276,"HEAD KIT,HYDRAULIC,HY10-XLT or Equiv.1 1/2""DR.",19,43,525,Rental,Month
2020,ATLA,78088257,HP-IP Turbine EH Cap Kit,1,3,900,Rental,Month
2020,ATLA,78036343,HY3XLT/3MXT HEX DRIVE KIT (Metric),7,16,157,Rental,Month
2020,ATLA,7800345,"HYDRAULIC WRENCH SET, MULTIHEAD",41,233,3675,Rental,Month
2020,ATLA,78043100,"Head Kit, Generator Bearing Horizontal Joint Kit (Avanti 3)",7,19,400,Rental,Month
2020,ATLA,78069959,"Hole Micrometer (Intrimik) 2.8"" thru 3.2""",5,6,150,Rental,Month
2020,ATLA,78045551,Hose and Cable Stand Kit Per Dwg #SPG-100-553F,17,55,75,Rental,Month
2020,ATLA,78030378,Human Performance Kit  for 15 per shift/ 30 total/ 2 shift,43,200,1113,Rental,Month
2020,ATLA,7800309,"IMPACT WRENCH, PNEUMATIC 1 1/2"" DR, WRENCH ONLY",32,67,550,Rental,Month
2020,ATLA,7800305,"IMPACT WRENCH, PNEUMATIC WITH SOCKETS, 1 1/2"" DR.",52,93,735,Rental,Month
2020,ATLA,7800306,"IMPACT WRENCH, PNEUMATIC WITH SOCKETS, 1"" DR",26,62,275,Rental,Month
2020,ATLA,7800307,"IMPACT WRENCH, PNEUMATIC WITH SOCKETS, 1/2"" DR",14,12,184,Rental,Month
2020,ATLA,7800308,"IMPACT WRENCH, PNEUMATIC WITH SOCKETS, 3/4"" DR",43,80,225,Rental,Month
2020,ATLA,7800319,INSULATED TIGHT WIRE STRETCHING RIG SET,20,22,420,Rental,Month
2020,ATLA,78061837,"Impulse Fault Locator, 35KV, (Thumper)",2,3,500,Rental,Month
2020,ATLA,78021107,Jack Bolt Tool Kit,15,69,246,Rental,Month
2020,ATLA,7800328,KELLY KLOSURE FENCING WITH SANDING ROOM,20,41,2600,Rental,Month
2020,ATLA,7800327,KELLY KLOSURE FENCING WITHOUT SANDING ROOM,24,42,2400,Rental,Month
2020,ATLA,7800329,KELVIN BRIDGE,36,238,420,Rental,Month
2020,ATLA,78032425,"Kit, Shipping Rack",29,38,100,Rental,Month
2020,ATLA,78039358,LARGE INFRARED 13.5 KVA HEATER KIT,3,4,300,Rental,Month
2020,ATLA,78067616,LED lighting Kit,10,53,250,Rental,Month
2020,ATLA,78064159,Laser Alignment Tool for Steam Turbine Cylinders Cover,1,1,225,Rental,Month
2020,ATLA,7800335,"MAGNETIC BASE DRILL, #3 MT WITH  ¾” CHUCK",9,29,263,Rental,Month
2020,ATLA,7800338,MEGGER (1000Volt) AC Line and Hand Cranked,22,78,115,Rental,Month
2020,ATLA,7800141,"METER, CLAMP ON, AMPROBE ACDC 1000",8,2,53,Rental,Month
2020,ATLA,7800340,METRIC SAFETY HOIST RING KIT,16,88,500,Rental,Month
2020,ATLA,7800342,"MODULAR PRECISION TOOL KIT ""A""",4,8,1275,Rental,Month
2020,ATLA,78000829,"MULTIMETER, DIGITAL FLUKE 77 OR 177",28,187,63,Rental,Month
2020,ATLA,78076474,"Metric Jack Bolt, Kit Per Dwg SE-HFSP-303 Rev A",13,47,470,Rental,Month
2020,ATLA,78087958,"Modular Metric Type B Tool Set, 3 pcs; Box 1 of 3: 100x48x77 = 5480 lbs;  Box 2 of 3: 100x48x77  = 5385 lbs;  Box 3 of 3: 73x28x40= 1955 lbs",5,25,13000,Rental,Month
2020,ATLA,78004765,"Nut Runner Kit, 1 1/2"" Dr., 4400 ft/lb",48,132,485,Rental,Month
2020,ATLA,78004766,"Nut Runner Kit, 1"" Dr., 1800 ft/lb",55,135,400,Rental,Month
2020,ATLA,78036172,Nylon and Wire Rope Sling Kit ,12,56,1500,Rental,Month
2020,ATLA,78055044,"O-Ring Vulcanizing Clamp Assembly with Heaters, (Allis Chalmers Generators)",2,4,150,Rental,Month
2020,ATLA,7800363,PIPE CLEANLINESS MAINT. PLUG KIT FOR HOT AND ROUGH SURFACE APPLICATIONS,25,48,892,Rental,Month
2020,ATLA,7800364,PIPE CLEANLINESS MAINTENANCE PLUG KIT (Air Bladder),41,143,735,Rental,Month
2020,ATLA,7800370,"PORTABLE SUNNEN HAND HONE KIT (1.25"" - 2.60"")",16,62,131,Rental,Month
2020,ATLA,7800372,"PORTABLE SUNNEN HAND HONE KIT (2.5"" - 5.5"")",13,43,131,Rental,Month
2020,ATLA,7800380,PSDS DEPTH GAUGE,31,58,55,Rental,Month
2020,ATLA,7800295,"PUMP KIT, HYDRAULIC",18,51,259,Rental,Month
2020,ATLA,78060876,Parker HB632 Supplemental Pipe Bending Kit (Kit to be used with HB632 bender ONLY),1,7,1000,Rental,Month
2020,ATLA,78057444,Parker Hannifin Fluid System Service Hydraulic Tube Bender Model HB632 (FSS Use Only),2,15,427,Rental,Month
2020,ATLA,78000812,Parts Storage Bin Kit,113,224,660,Rental,Month
2020,ATLA,78000822,Parts Storage Bin Kit With Doors,8,18,675,Rental,Month
2020,ATLA,78036575,Plasma Cutting Kit,2,9,300,Rental,Month
2020,ATLA,78050260,"Pneumatic Impact Wrench with Metric Socket Kit, 1/2"" Dr.",5,4,157,Rental,Month
2020,ATLA,78044149,Power Roller Shim Kit,11,45,350,Rental,Month
2020,ATLA,78051482,Pre-Printed Human Performance Dry Erase Board Kit,9,6,100,Rental,Month
2020,ATLA,7800385,RADIAL LEAD TOOL KIT - (Inner Cooled & Conventional),5,3,700,Rental,Month
2020,ATLA,7800389,RETROFIT TOOL KIT,4,5,5775,Rental,Month
2020,ATLA,78066090,"RLA TD Von Hi Pot Test Set, 100KV",1,2,945,Rental,Month
2020,ATLA,7800393,ROTO- SHOT PEENING KIT,7,14,1155,Rental,Month
2020,ATLA,78053907,"RTD Temperature Thermistor, (Minco)",31,173,250,Rental,Month
2020,ATLA,78064239,RTD Test Board Kit (for S2R2 Units with Amphenol Connectors),5,33,450,Rental,Month
