KitSKU,KitName,InspStat,SNCount,20202021ShipmentCount,20202021PeriodLowTurn,20192020ShipmentCount,20192020PeriodLowTurn,20182019ShipmentCount,20182019PeriodLowTurn,OverallLowTurn,PotentialStockRedundancy,RedundantAmount,Unit,l,w,h,Space,Breakdown,PSCKits,PSCSpaceNeed,HOUKits,HOUSpaceNeed,TruckUse
78029506,"""A"" Set Supplemental Kit",General,3,0,,0,,0,,,,2,in,*,*,*,,Split,2,,1,,
78052118,"Tent with 40' Canopy Cover Kit, BigTop 80' x 36' x 19';",General,1,1,,1,,0,,,,1,ft,40,8,9.5,,Split,1,,0,,
7800357,OUT-OF-SHELL COOLER BUNDLE CLEANING KIT WITH 28' VAT  10 PCS @ 15820-LBS,Oil Flush,1,2,,1,,0,,,,1,in,336,96,86,,PSC,1,,,,
7800100,2300 GPM OIL FILTRATION PUMP WITH DIESEL PUMP,Oil Flush,1,2,,2,,1,,,,1,in,138,54,86,,PSC,1,,,,
78051606,8000H Upper Manway Jack Kit,8000H,5,0,,0,,0,,,,5,in,48,24,24,,PSC,4,,,,
78053780,8000H Support Housing Handling Kit.,8000H,2,2,,0,,0,,,,2,in,32,19,13,,PSC,1,,,,
78056401,8000H VGV/IGV Lifting Device SE-HFSP-041,8000H,2,0,,0,,0,,,,2,in,72,24,17,,PSC,1,,,,
78063678,"8000H TEC Lifting Device Kit, TLD30",8000H,3,0,,0,,0,,,,3,in,127,48,79,,PSC,2,,,,
78056742,"8000H Casing Guide Pin Kit, 68KH00-TLD31-A01-A01",8000H,4,13,,5,,0,,,,,in,37,31,12,,PSC,4,,,,
78059413,8000H TEC Manway Lifting Beam Kit,8000H,3,10,,3,,0,,,,,in,94,24,22,,PSC,3,,,,
78064380,"8000H Drill Plate Kit, TLM20",8000H,2,1,,0,,0,,,,2,in,18,18,10,,PSC,1,,,,
7800214,DIGITAL THERMOMETER OMEGA DP41-TC,Electronics,6,1,,2,,1,,,,6,in,19,15,8,,PSC,4,,,,
78046422,"Rotor Rolling Kit, Nut Runner Style, for Horizontal and Vertical Turning Gear Motor, Dwg. PH6D0715",General,4,1,,1,,1,,,,2,in,24,21,24,,Split,1,,1,,
78087508,"Hoist Kit for Containerized Type ""A Tool Set (in Kit 7800198)",General,28,0,,0,,0,,,,14,in,72,40,60,,Split,20,,20,,
79003379,Fall Protection Kit for Metric A-Set (78080607),General,2,0,,0,,0,,,,1,in,12,18,12,,Split,1,,0,,
78063608,"8000H HCO Trolley Hydraulic Pump Kit, TLC21, DPPPG-70001918, P0001074600, P0002281500",8000H,2,6,,0,,0,,,,,in,42,19,24,,PSC,3,,,,
78063631,"8000H Assembly Lock for Turbine Bearing Casing, TLD36",8000H,1,2,,0,,0,,,,,in,90,20,18,,PSC,0,,,,
