KitSKU,Kit79,KitName,InspStat,SNCount,20202021ShipmentCount,20202021PeriodLowTurn,20192020ShipmentCount,20192020PeriodLowTurn,20182019ShipmentCount,20182019PeriodLowTurn,OverallLowTurn,PotentialStockRedundancy,RedundantAmount,Unit,l,w,h,Space,Breakdown,PSCKits,PSCSpaceNeed,HOUKits,HOUSpaceNeed,TruckUse
78029506,,"""A"" Set Supplemental Kit",General,3,0,X,0,X,0,X,X,X,2,in,*,*,*,105,Split,2,210,1,105,
78052118,,"Tent with 40' Canopy Cover Kit, BigTop 80' x 36' x 19';",General,1,1,X,1,X,0,X,X,,1,ft,40,8,9.5,320,Split,1,320,0,0,1
7800357,,OUT-OF-SHELL COOLER BUNDLE CLEANING KIT WITH 28' VAT  10 PCS @ 15820-LBS,Oil Flush,1,2,X,1,X,0,X,X,,1,in,336,96,86,224,PSC,1,224,,0,1
7800100,,2300 GPM OIL FILTRATION PUMP WITH DIESEL PUMP,Oil Flush,1,2,X,2,X,1,X,X,,1,in,138,54,86,51.75,PSC,1,51.75,,0,1
78051606,,8000H Upper Manway Jack Kit,8000H,5,0,X,0,X,0,X,X,X,5,in,48,24,24,8,PSC,4,32,,0,
78053780,,8000H Support Housing Handling Kit.,8000H,2,2,X,0,X,0,X,X,,2,in,32,19,13,4.22,PSC,1,4.22,,0,
78056401,,8000H VGV/IGV Lifting Device SE-HFSP-041,8000H,2,0,X,0,X,0,X,X,X,2,in,72,24,17,12,PSC,1,12,,0,
78063678,,"8000H TEC Lifting Device Kit, TLD30",8000H,3,0,X,0,X,0,X,X,X,3,in,127,48,79,42.33,PSC,2,84.67,,0,
78056742,,"8000H Casing Guide Pin Kit, 68KH00-TLD31-A01-A01",8000H,4,13,,5,,0,X,,,,in,37,31,12,7.97,PSC,4,31.86,,0,
78059413,,8000H TEC Manway Lifting Beam Kit,8000H,3,10,,3,,0,X,,,,in,94,24,22,15.67,PSC,3,47,,0,
78064380,,"8000H Drill Plate Kit, TLM20",8000H,2,1,X,0,X,0,X,X,X,2,in,18,18,10,2.25,PSC,1,2.25,,0,
7800214,,DIGITAL THERMOMETER OMEGA DP41-TC,Electronics,6,1,X,2,X,1,X,X,X,6,in,19,15,8,1.98,PSC,4,7.92,,0,
78046422,,"Rotor Rolling Kit, Nut Runner Style, for Horizontal and Vertical Turning Gear Motor, Dwg. PH6D0715",General,4,1,X,1,X,1,X,X,X,2,in,24,21,24,3.5,Split,1,3.5,1,3.5,
