Date,Number,Jackpot,DP
"Mon, Jul 04, 2022",15-16-24-31-56 PB: 4 PP: 2,$26 Million,60-41-9-57-55 PB: 5
"Sat, Jul 02, 2022",9-10-37-59-62 PB: 26 PP: 3,$20 Million,4-22-59-57-7 PB: 24
"Wed, Jun 29, 2022",8-40-49-58-63 PB: 14 PP: 3,$365 Million,11-26-28-60-34 PB: 5
"Mon, Jun 27, 2022",11-13-18-30-37 PB: 16 PP: 3,$346 Million,68-57-47-53-34 PB: 2
"Sat, Jun 25, 2022",6-12-20-27-32 PB: 4 PP: 3,$335 Million,69-58-46-63-16 PB: 18
"Wed, Jun 22, 2022",6-10-31-48-56 PB: 12 PP: 3,$312 Million,53-31-7-39-51 PB: 21
"Mon, Jun 20, 2022",3-44-61-63-69 PB: 13 PP: 2,$296 Million,56-43-27-26-4 PB: 18
"Sat, Jun 18, 2022",10-19-40-45-58 PB: 25 PP: 2,$279 Million,23-30-7-53-18 PB: 3
"Wed, Jun 15, 2022",19-28-41-42-51 PB: 7 PP: 2,$258 Million,44-48-67-47-3 PB: 11
"Mon, Jun 13, 2022",2-27-42-44-51 PB: 25 PP: 2,$243 Million,8-20-67-48-35 PB: 15
"Sat, Jun 11, 2022",18-20-26-53-69 PB: 5 PP: 2,$229 Million,32-56-65-46-1 PB: 23
"Wed, Jun 08, 2022",22-39-43-62-64 PB: 7 PP: 4,$210 Million,58-51-23-65-49 PB: 12
"Mon, Jun 06, 2022",2-10-35-44-46 PB: 4 PP: 2,$198 Million,61-36-53-1-10 PB: 21
"Sat, Jun 04, 2022",14-16-36-52-60 PB: 16 PP: 3,$184 Million,41-11-61-55-39 PB: 10
"Wed, Jun 01, 2022",11-41-56-57-63 PB: 2 PP: 2,$168 Million,39-20-9-47-22 PB: 10
"Mon, May 30, 2022",27-28-51-68-69 PB: 22 PP: 2,$157 Million,11-22-13-51-44 PB: 15
"Sat, May 28, 2022",2-39-50-61-66 PB: 15 PP: 2,$150 Million,34-69-11-61-52 PB: 24
"Wed, May 25, 2022",19-28-39-42-57 PB: 17 PP: 3,$135 Million,20-45-16-3-33 PB: 11
"Mon, May 23, 2022",1-33-37-39-42 PB: 26 PP: 2,$125 Million,45-33-65-62-60 PB: 2
"Sat, May 21, 2022",14-15-25-52-58 PB: 11 PP: 2,$117 Million,54-35-20-69-16 PB: 15
"Wed, May 18, 2022",40-41-58-64-65 PB: 17 PP: 3,$101 Million,64-27-9-41-59 PB: 21
"Mon, May 16, 2022",7-15-22-36-64 PB: 13 PP: 2,$90 Million,7-34-12-35-67 PB: 26
"Sat, May 14, 2022",6-40-41-45-52 PB: 9 PP: 3,$83 Million,23-41-36-65-42 PB: 14
"Wed, May 11, 2022",5-7-61-63-69 PB: 18 PP: 2,$68 Million,42-2-54-24-34 PB: 11
"Mon, May 09, 2022",18-30-35-52-56 PB: 5 PP: 2,$59 Million,42-3-57-45-67 PB: 2
"Sat, May 07, 2022",4-5-6-28-67 PB: 10 PP: 2,$51 Million,38-14-22-60-56 PB: 17
"Wed, May 04, 2022",37-39-55-63-69 PB: 23 PP: 2,$37 Million,6-44-31-46-39 PB: 26
"Mon, May 02, 2022",18-27-33-39-44 PB: 8 PP: 5,$27 Million,23-6-37-29-65 PB: 12
"Sat, Apr 30, 2022",14-21-37-44-63 PB: 1 PP: 3,$20 Million,30-11-69-56-48 PB: 20
"Wed, Apr 27, 2022",11-36-61-62-68 PB: 4 PP: 2,$454 Million,38-50-35-1-12 PB: 10
"Mon, Apr 25, 2022",12-18-20-39-61 PB: 10 PP: 2,$421 Million,29-38-14-23-43 PB: 20
"Sat, Apr 23, 2022",10-39-47-49-56 PB: 8 PP: 3,$400 Million,39-63-30-2-54 PB: 17
"Wed, Apr 20, 2022",20-30-45-55-56 PB: 14 PP: 2,$370 Million,52-15-4-21-16 PB: 20
"Mon, Apr 18, 2022",8-33-55-59-62 PB: 18 PP: 2,$348 Million,17-29-66-65-12 PB: 7
"Sat, Apr 16, 2022",15-21-32-62-65 PB: 26 PP: 5,$325 Million,47-33-55-64-40 PB: 5
"Wed, Apr 13, 2022",14-16-41-63-68 PB: 26 PP: 2,$302 Million,54-51-17-55-58 PB: 19
"Mon, Apr 11, 2022",5-7-24-31-34 PB: 4 PP: 2,$288 Million,29-24-47-20-18 PB: 12
"Sat, Apr 09, 2022",6-16-31-62-66 PB: 18 PP: 2,$268 Million,3-67-5-48-35 PB: 5
"Wed, Apr 06, 2022",6-42-45-47-64 PB: 18 PP: 3,$246 Million,56-4-58-57-29 PB: 2
"Mon, Apr 04, 2022",2-32-39-46-69 PB: 6 PP: 2,$231 Million,58-55-59-6-49 PB: 15
"Sat, Apr 02, 2022",6-28-47-58-59 PB: 18 PP: 2,$222 Million,6-57-7-41-61 PB: 14
"Wed, Mar 30, 2022",3-7-21-31-37 PB: 11 PP: 3,$206 Million,44-24-52-1-48 PB: 22
"Mon, Mar 28, 2022",11-18-39-58-62 PB: 3 PP: 2,$195 Million,36-51-59-23-32 PB: 9
"Sat, Mar 26, 2022",2-10-50-59-61 PB: 6 PP: 3,$181 Million,40-60-39-55-18 PB: 25
"Wed, Mar 23, 2022",31-32-37-38-48 PB: 24 PP: 2,$167 Million,62-18-26-15-24 PB: 1
"Mon, Mar 21, 2022",1-15-26-63-65 PB: 16 PP: 2,$156 Million,17-57-51-14-25 PB: 24
